name,description,photo
Menthe Poivrée,"L'huile essentielle de Menthe Poivrée possède de nombreuses vertus intéressantes contre les problèmes du quotidien mais aussi contre d'autres plus sérieux. En plus d'être tonique, elle est excellente pour la digestion. Elle est d'ailleurs recommandée contre les nausées, la gastro-entérite et les digestions difficiles. Elle sera votre amie les lendemains de fête ! Et enfin, parler de la Menthe Poivrée n'est pas concevable sans évoquer la migraine : elle la calme efficacement et procure une agréable sensation de froid sur les zones douloureuses. Vigilance ! La puissance de cette huile essentielle nous rappelle qu’elle ne doit pas être utilisée à la légère. Bien que l’huile essentielle de Menthe Poivrée soit utilisable dans toutes les voies d’administration, elle est interdite aux femmes enceintes et allaitantes, aux bébés et aux enfants de moins de 6 ans.",https://media.serge.academy/public/file/20220131101026_cover-68-jpg
Mélisse,,https://media.serge.academy/public/file/20220713133832_cover-324-jpg
Estragon,"L'huile essentielle d'Estragon n'est pas seulement appréciée en cuisine mais également pour ses bienfaits thérapeutiques. Antispasmodique, anti-allergique et digestive, elle sera mise à profit pour lutter contre les allergies, la constipation et contre tous les types de spasmes. Vigilance ! Les femmes enceintes et allaitantes ainsi que les bébés de moins de 3 ans ne peuvent pas utiliser l’huile essentielle d'Estragon excepté en diffusion atmosphérique. Toutes les voies d’administration sont en revanche autorisées pour les adultes, adolescents et enfants de plus de 3 ans.",https://media.serge.academy/public/file/20220131101059_cover-33-jpg
Ravintsara,"Parfaitement adaptée à toute la famille, l'huile essentielle de Ravintsara est la star du monde de l'aromathérapie ! Toute indiquée en cas d'infections touchant la sphère ORL, rhume, otite, sinusite et bien d'autres ne lui résisteront pas. Son action antivirale et ses effets stimulants sur le système immunitaire sont en effet puissants et reconnus par tous les professionnels et adeptes des huiles essentielles. Probablement la plus souple des huiles essentielles ! Tout le monde peut utiliser l’huile essentielle de Ravintsara à l’exception évidemment des femmes enceintes de moins de 3 mois. Elle est également utilisable par toutes les voies. Enfin, il est cependant préférable pour les personnes asthmatiques et épileptiques de demander conseil à leur médecin avant utilisation.",https://media.serge.academy/public/file/20220131101202_cover-92-jpg
Eucalyptus Globulus,,https://media.serge.academy/public/file/20220131101109_cover-35-jpg
Néroli,,https://media.serge.academy/public/file/20220131101143_cover-77-jpg
Camomille Romaine,,https://media.serge.academy/public/file/20220131101041_cover-13-jpg
Géranium Rosat,,https://media.serge.academy/public/file/20220131101129_cover-43-jpg
Origan Compact,,https://media.serge.academy/public/file/20220131101145_cover-80-jpg
Tea Tree,,https://media.serge.academy/public/file/20220131101218_cover-106-jpg
Lavande Aspic,,https://media.serge.academy/public/file/20220131101137_cover-52-jpg
Citronnelle De Java,,https://media.serge.academy/public/file/20220131101055_cover-23-jpg
Laurier Noble,,https://media.serge.academy/public/file/20220131101116_cover-51-jpg
Cannelle,,https://media.serge.academy/public/file/20220131101040_cover-15-jpg
Sarriette Des Montagnes,,https://media.serge.academy/public/file/20220131101205_cover-102-jpg
Clou De Girofle,,https://media.serge.academy/public/file/20220131101117_cover-24-jpg
Gaulthérie Odorante,,https://media.serge.academy/public/file/20220131101119_cover-41-jpg
Chanvre,,https://media.serge.academy/public/file/20220420131835_cover-174-jpg
Basilic Tropical,"L'huile essentielle de Basilic Tropical, aussi appelé Exotique, est très appréciée pour favoriser la digestion, éviter les reflux gastriques et limiter les ballonnements. Anti-spasmodique puissant, elle lutte contre les douleurs liées aux régles ou contre la spasmophilie et ses symptômes associés tel que l'angoisse et la fatigue. Vigilance ! Cette huile essentielle est interdite aux femmes enceintes et allaitantes, aux bébés et aux enfants de moins de 6 ans. L'huile essentielle de Basilic ne doit pas être appliquée pure sur la peau, veillez à bien la diluer dans une huile végétale.",https://media.serge.academy/public/file/20220131101031_cover-5-jpg
Eucalyptus Radiata,"L'huile essentielle d'Eucalyptus Radiata est majoritairement composée de 1,8-cinéole, molécule qui possède une activité expectorante et mucolytique puissante. Elle est donc très efficace pour tous les problèmes ORL comme le rhume, la sinusite, l'angine, la bronchite ou tout simplement la toux. Très flexible, contrairement à d’autres huiles essentielles d’Eucalyptus, l’huile essentielle d’Eucalyptus Radiata (ou Radié) est très bien tolérée par tout le monde, sauf les femmes enceintes de moins de 3 mois et les nourrissons de moins de 3 mois. Toutes les voies d’administration sont permises, cependant il faut la diluer lors d'une application cutanée à cause de son caractère irritant pour la peau.",https://media.serge.academy/public/file/20220131101110_cover-36-jpg
Ylang Ylang,,https://media.serge.academy/public/file/20220131101225_cover-117-jpg
Nard de l'Himalaya,,https://media.serge.academy/public/file/20220131101141_cover-76-jpg
Tea Tree Citronné,,https://media.serge.academy/public/file/20220413135351_tea-tree-citronne-1500-jpg
Niaouli,,https://media.serge.academy/public/file/20220421143025_niaouli1500-jpg
Carotte,,https://media.serge.academy/public/file/20220131101138_cover-53-jpg
Lavande Vraie,,https://media.serge.academy/public/file/20220131101138_cover-53-jpg
Eucalyptus Citronné,,https://media.serge.academy/public/file/20220131101107_cover-34-jpg
Manuka,,https://media.serge.academy/public/file/20220131101237_cover-61-jpg
Tea tree,,https://media.serge.academy/public/file/20220131101218_cover-106-jpg
Romarin à Camphre,,https://media.serge.academy/public/file/20220131101158_cover-93-jpg
