name,address,phone_number,speciality
Simply Zen,"168 Boulevard de la Croix-Rousse, 69001 Lyon",06 98 86 01 31,acupuncteur
Maryline Oukil,"69 Boulevard des Canuts, 69004 Lyon",06 01 92 47 26,acupuncteur
Dr Aymeric Frecon,"7 Place Bellecour, 69002 Lyon",04 78 37 29 33,acupuncteur
Stéphan Bertry Masoero,"18 Rue Crillon, 69006 Lyon",06 71 22 06 51,acupuncteur
Franck N'Guyen-Huu,"27 Rue Jacques-Louis Hénon, 69004 Lyon",04 78 30 10 38,acupuncteur
INSTITUT YUHONG,"17 Rue Tronchet, 69006 Lyon",09 86 17 70 11,acupuncteur
Cécile CHABOT,"90 Montée de la Grande-Côte, 69001 Lyon",06 68 44 04 62,acupuncteur
Cabinet Natacha Badrov,"102 Rue Garibaldi, 69006 Lyon",06 43 17 49 59,acupuncteur
Nguyen Dinh Jacqueline,"12 Rue d'Algérie, 69001 Lyon",04 78 72 63 49,acupuncteur
Docteur Jean-Michel Garcin,"47 Rue Germain, 69006 Lyon",04 78 24 55 93,acupuncteur
TRINH Quang -Duc,"174 Boulevard de la Croix-Rousse, 69001 Lyon",07 69 56 27 70,acupuncteur
Dr Géraldine DANTIN-GAIRARD - Acupunctrice,"25 Quai Tilsitt, 69002 Lyon",09 63 67 88 14,acupuncteur
Lagloire Monique,"9 Rue Grolée, 69002 Lyon",04 27 02 80 44,acupuncteur
Bounpraseuth Laurent,"45 Avenue Jean Jaurès, 69007 Lyon",04 78 69 03 54,acupuncteur
Cabinet Sandrine Jaligot,"15 Rue Barodet, 69004 Lyon",06 64 53 77 89,acupuncteur
Nature et Découvertes,"58 Rue de la République, 69002 Lyon",04 78 38 38 74,shop
Herboristerie L'Aromathèque Jacobins,"9 Rue de l'Ancienne Préfecture, 69002 Lyon",04 72 31 62 30,shop
Boutique Aroma-Zone Lyon Grand Hôtel-Dieu,"23 Rue Bellecordière, 69002 Lyon",04 13 35 50 00,shop
Herboristerie de Saint-Jean,"8 Place Saint-Jean, 69005 Lyon",04 78 37 88 18,shop
Herboristerie L'Aromathèque Vitton,"70 Cours Vitton, 69006 Lyon",04 37 24 19 94,shop
Naturalia,"18 Avenue Jean Jaurès, 69007 Lyon",04 72 94 40 65,shop
